Place,Year
"Beccarie (Calle , Campo, Ponte, Rio, Calle delle)  a Rialto.",1339
"Beccarie (Calle , Campo, Ponte, Rio, Calle delle)  a Rialto.",1341
"Beccarie (Calle , Campo, Ponte, Rio, Calle delle)  a Rialto.",1450
"Beccarie (Calle , Campo, Ponte, Rio, Calle delle)  a Rialto.",1545
"Beccarie (Calle , Campo, Ponte, Rio, Calle delle)  a Rialto.",1678
"Beccarie (Calle , Campo, Ponte, Rio, Calle delle)  a Rialto.",1849
"Beccherie (Campiello, Calle delle)  a S. Giobbe.",1713
Bembo (Calle) a S. Salvatore.,527
Bembo (Calle) a S. Salvatore.,697
Bembo (Calle) a S. Salvatore.,982
Bembo (Calle) a S. Salvatore.,1110
Bembo (Calle) a S. Salvatore.,1395
Bembo (Calle) a S. Salvatore.,1483
Bembo (Calle) a S. Salvatore.,1539
Bembo (Calle) a S. Salvatore.,1615
Bembo (Calle) a S. Salvatore.,1657
Bembo (Calle) a S. Salvatore.,1671
"Benedetto (Campo, Traghetto).",1005
"Benedetto (Campo, Traghetto).",1013
"Benedetto (Campo, Traghetto).",1293
"Benedetto (Campo, Traghetto).",1435
"Benedetto (Campo, Traghetto).",1619
"Benedetto (Campo, Traghetto).",1650
"Benedetto (Campo, Traghetto).",1695
"Benedetto (Campo, Traghetto).",1755
"Benedetto (Campo, Traghetto).",1774
"Benedetto (Campo, Traghetto).",1782
"Benedetto (Campo, Traghetto).",1810
"Benedetto (Campo, Traghetto).",1827
Benzon (Calle)  a S. Benedetto.,951
Benzon (Calle)  a S. Benedetto.,1407
Benzon (Calle)  a S. Benedetto.,1426
Benzon (Calle)  a S. Benedetto.,1482
Bergamaschi (Calle)  a S. Moisè.,1650
Bergamaschi (Calle)  a S. Moisè.,1750
Berlendis (Calle)  al Malcanton.,1615
Berlendis (Calle)  al Malcanton.,1639
Berlendis (Calle)  al Malcanton.,1662
Berlendis (Calle)  al Malcanton.,1715
Berlendis (Calle)  al Malcanton.,1716
Berlendis (Calle)  al Malcanton.,1748
Berlendis (Calle)  al Malcanton.,1772
"Bernardo (Ramo, Calle, Ponte, Fondamenta) a Sant’Agostino.",1303
"Bernardo (Ramo, Calle, Ponte, Fondamenta) a Sant’Agostino.",1545
"Bernardo (Calle e Ramo, Campie llo, Ramo)  a S. Apollinare.",1651
